original R;original G;original B;calibrated R ;calibrated G ;calibrated B ;H;S;V;NDVI_observed;NDVI_predicted
23;45;11;57;91;47;0.295454545454545;0.483516483516484;0.356862745098039;0.788235294117647;0.814683675766
48;97;21;86;145;64;0.288065843621399;0.558620689655172;0.568627450980392;0.756862745098039;0.741626858711
39;71;18;83;121;60;0.270491803278688;0.504132231404959;0.474509803921569;0.725490196078431;0.715681076050
37;69;17;80;118;59;0.274011299435028;0.5;0.462745098039216;0.741176470588235;0.719654738903
95;144;40;142;180;86;0.234042553191489;0.522222222222222;0.705882352941177;0.482352941176471;0.383314669132
69;113;28;115;160;73;0.252873563218391;0.54375;0.627450980392157;0.6;0.598612964153
34;48;24;81;99;65;0.254901960784314;0.343434343434343;0.388235294117647;0.411764705882353;0.496466875076
27;39;20;68;87;59;0.279761904761905;0.32183908045977;0.341176470588235;0.505882352941176;0.541824936867
110;138;69;160;180;117;0.21957671957672;0.35;0.705882352941177;0.137254901960784;0.041797399521
58;78;31;113;130;76;0.219135802469136;0.415384615384615;0.509803921568627;0.301960784313726;0.356594473124
18;33;4;48;74;35;0.277777777777778;0.527027027027027;0.290196078431373;0.819607843137255;0.782951474190
11;21;4;36;56;33;0.311594202898551;0.410714285714286;0.219607843137255;0.835294117647059;0.833367824554
18;33;7;48;74;39;0.29047619047619;0.472972972972973;0.290196078431373;0.764705882352941;0.768101811409
5;9;2;30;39;30;0.333333333333333;0.230769230769231;0.152941176470588;0.827450980392157;0.907071352005
11;14;6;40;47;35;0.263888888888889;0.25531914893617;0.184313725490196;0.552941176470588;0.746605753899
5;8;3;31;37;31;0.333333333333333;0.162162162162162;0.145098039215686;0.803921568627451;0.790465354919
5;8;3;31;37;31;0.333333333333333;0.162162162162162;0.145098039215686;0.780392156862745;0.790465354919
12;19;7;40;54;37;0.303921568627451;0.314814814814815;0.211764705882353;0.733333333333333;0.772161543369
41;73;21;86;123;64;0.271186440677966;0.479674796747968;0.482352941176471;0.654901960784314;0.712961554527
6;11;5;32;42;34;0.366666666666667;0.238095238095238;0.164705882352941;0.780392156862745;0.885060906410
7;13;6;33;45;35;0.361111111111111;0.266666666666667;0.176470588235294;0.803921568627451;0.889051318169
102;141;48;152;180;96;0.222222222222222;0.466666666666667;0.705882352941177;0.388235294117647;0.285609841347
4;8;4;29;37;33;0.416666666666667;0.216216216216216;0.145098039215686;0.780392156862745;0.882012844086
27;49;13;65;97;51;0.282608695652174;0.474226804123711;0.380392156862745;0.701960784313725;0.768252968788
19;33;11;57;88;56;0.328125;0.363636363636364;0.345098039215686;0.788235294117647;0.745242834091
4;9;3;34;46;37;0.375;0.260869565217391;0.180392156862745;0.882352941176471;0.854907870293
8;14;5;40;55;42;0.355555555555556;0.272727272727273;0.215686274509804;0.788235294117647;0.803840160370
4;8;4;35;44;39;0.407407407407407;0.204545454545455;0.172549019607843;0.866666666666667;0.833644986153
2;5;1;32;39;33;0.357142857142857;0.179487179487179;0.152941176470588;0.913725490196078;0.805500149727
9;16;7;41;59;46;0.37962962962963;0.305084745762712;0.231372549019608;0.811764705882353;0.801853775978
34;53;20;87;109;71;0.263157894736842;0.348623853211009;0.427450980392157;0.670588235294118;0.562549710274
36;56;24;91;115;78;0.274774774774775;0.321739130434783;0.450980392156863;0.631372549019608;0.574883162975
4;7;3;35;43;37;0.375;0.186046511627907;0.168627450980392;0.866666666666667;0.794300794601
3;7;2;33;42;35;0.37037037037037;0.214285714285714;0.164705882352941;0.890196078431372;0.842422604561
6;10;5;38;48;41;0.383333333333333;0.208333333333333;0.188235294117647;0.827450980392157;0.851815462112
2;5;1;32;39;33;0.357142857142857;0.179487179487179;0.152941176470588;0.905882352941176;0.805500149727
11;21;5;42;67;43;0.34;0.373134328358209;0.262745098039216;0.858823529411765;0.812388420105
27;46;16;72;102;65;0.301801801801802;0.362745098039216;0.4;0.764705882352941;0.703208565712
15;28;10;50;80;54;0.355555555555556;0.375;0.313725490196078;0.796078431372549;0.807697772980
20;35;13;59;91;60;0.338541666666667;0.351648351648352;0.356862745098039;0.756862745098039;0.765193223953
13;25;9;46;75;51;0.362068965517241;0.386666666666667;0.294117647058824;0.788235294117647;0.813844084740
16;29;10;52;82;54;0.344444444444444;0.365853658536585;0.32156862745098;0.788235294117647;0.790617942810
51;71;38;113;139;101;0.280701754385965;0.273381294964029;0.545098039215686;0.498039215686275;0.383060097694
35;56;24;88;115;78;0.288288288288288;0.321739130434783;0.450980392156863;0.63921568627451;0.622066259384
35;54;24;89;112;78;0.279411764705882;0.303571428571429;0.43921568627451;0.647058823529412;0.576273918152
28;43;21;77;102;74;0.31547619047619;0.274509803921569;0.4;0.662745098039216;0.636013627052
34;34;16;92;93;66;0.172839506172839;0.290322580645161;0.364705882352941;0.192156862745098;0.119410932064
66;67;33;141;132;94;0.134751773049645;0.333333333333333;0.552941176470588;0.0666666666666667;-0.214821368456
95;97;57;163;163;126;0.166666666666667;0.226993865030675;0.63921568627451;-0.0666666666666667;-0.303508251905
41;64;22;98;123;75;0.253472222222222;0.390243902439024;0.482352941176471;0.670588235294118;0.546407938004
28;47;14;74;102;61;0.280487804878049;0.401960784313726;0.4;0.756862745098039;0.684844374657
14;24;7;48;73;48;0.333333333333333;0.342465753424658;0.286274509803922;0.843137254901961;0.809966206551
14;24;7;48;73;48;0.333333333333333;0.342465753424658;0.286274509803922;0.819607843137255;0.809966206551
39;61;25;95;121;80;0.272357723577236;0.338842975206612;0.474509803921569;0.654901960784314;0.558788895607
30;46;10;78;100;54;0.246376811594203;0.46;0.392156862745098;0.741176470588235;0.614244818687
34;52;13;86;105;59;0.235507246376812;0.438095238095238;0.411764705882353;0.686274509803922;0.530697405338
13;27;7;44;77;48;0.353535353535354;0.428571428571429;0.301960784313725;0.843137254901961;0.793147683144
26;42;11;70;97;56;0.276422764227642;0.422680412371134;0.380392156862745;0.686274509803922;0.707707703114
29;43;14;77;99;61;0.263157894736842;0.383838383838384;0.388235294117647;0.631372549019608;0.580349504948
24;39;10;66;94;55;0.286324786324786;0.414893617021277;0.368627450980392;0.741176470588235;0.733612656593
31;49;17;81;105;66;0.269230769230769;0.371428571428571;0.411764705882353;0.694117647058824;0.605790734291
38;59;26;94;119;81;0.276315789473684;0.319327731092437;0.466666666666667;0.615686274509804;0.552472233772
8;17;3;37;59;39;0.348484848484848;0.372881355932203;0.231372549019608;0.898039215686274;0.779617667198
24;41;11;66;96;56;0.291666666666667;0.416666666666667;0.376470588235294;0.796078431372549;0.741990685463
28;48;12;73;102;57;0.274074074074074;0.441176470588235;0.4;0.749019607843137;0.728318095207
18;34;9;54;88;53;0.328571428571429;0.397727272727273;0.345098039215686;0.803921568627451;0.780513644218
48;67;33;110;133;93;0.2625;0.300751879699248;0.52156862745098;0.490196078431373;0.390255868435
22;41;10;61;96;54;0.305555555555556;0.4375;0.376470588235294;0.811764705882353;0.780335545540
15;25;12;53;76;57;0.36231884057971;0.302631578947368;0.298039215686275;0.701960784313725;0.723887562752
8;14;6;40;55;43;0.366666666666667;0.272727272727273;0.215686274509804;0.811764705882353;0.808391928673
25;34;18;74;93;70;0.304347826086956;0.247311827956989;0.364705882352941;0.490196078431373;0.589300215244
4;8;2;34;44;35;0.35;0.227272727272727;0.172549019607843;0.835294117647059;0.870765686035
6;10;4;38;48;39;0.35;0.208333333333333;0.188235294117647;0.788235294117647;0.773588657379
37;55;26;93;115;81;0.274509803921569;0.295652173913043;0.450980392156863;0.584313725490196;0.535873711109
16;28;11;53;81;56;0.351190476190476;0.345679012345679;0.317647058823529;0.764705882352941;0.744478106499
44;63;32;104;128;91;0.274774774774775;0.2890625;0.501960784313725;0.505882352941176;0.455088078976
47;67;38;107;135;101;0.303921568627451;0.251851851851852;0.529411764705882;0.529411764705882;0.434954017401
14;23;7;49;71;47;0.319444444444444;0.338028169014085;0.27843137254902;0.780392156862745;0.793895363808
9;15;8;43;58;47;0.377777777777778;0.258620689655172;0.227450980392157;0.772549019607843;0.775035321712
5;10;5;36;48;41;0.402777777777778;0.25;0.188235294117647;0.874509803921569;0.821798086166
7;12;6;39;52;43;0.384615384615385;0.25;0.203921568627451;0.835294117647059;0.804911375046
9;15;7;42;57;45;0.366666666666667;0.263157894736842;0.223529411764706;0.772549019607843;0.787294149399
16;27;12;54;80;58;0.358974358974359;0.325;0.313725490196078;0.701960784313725;0.731197953224
39;54;27;98;114;83;0.252688172043011;0.271929824561403;0.447058823529412;0.52156862745098;0.451231807470
29;45;22;79;104;75;0.310344827586207;0.278846153846154;0.407843137254902;0.607843137254902;0.632440686226
40;57;29;99;119;86;0.267676767676768;0.277310924369748;0.466666666666667;0.529411764705882;0.467438340187
8;14;6;40;55;43;0.366666666666667;0.272727272727273;0.215686274509804;0.819607843137255;0.808391928673
11;21;9;44;68;50;0.375;0.352941176470588;0.266666666666667;0.796078431372549;0.797683715820
23;36;15;67;93;64;0.316091954022989;0.311827956989247;0.364705882352941;0.717647058823529;0.682743072510
6;10;3;37;48;37;0.333333333333333;0.229166666666667;0.188235294117647;0.850980392156863;0.838068008423
26;42;19;73;100;71;0.32183908045977;0.29;0.392156862745098;0.701960784313725;0.668059945107
30;47;26;81;107;82;0.33974358974359;0.242990654205607;0.419607843137255;0.662745098039216;0.660784840584
25;41;19;71;100;71;0.333333333333333;0.29;0.392156862745098;0.701960784313725;0.676161170006
7;14;5;37;55;42;0.37962962962963;0.327272727272727;0.215686274509804;0.866666666666667;0.775459706783
18;30;12;57;84;58;0.339506172839506;0.321428571428571;0.329411764705882;0.749019607843137;0.712974786758
22;37;16;64;95;66;0.344086021505376;0.326315789473684;0.372549019607843;0.733333333333333;0.742194712162
22;38;9;61;92;53;0.299145299145299;0.423913043478261;0.36078431372549;0.819607843137255;0.762533843517
13;25;8;46;74;49;0.351190476190476;0.378378378378378;0.290196078431373;0.835294117647059;0.824691891670
32;48;21;85;105;73;0.270833333333333;0.304761904761905;0.411764705882353;0.67843137254902;0.553396105766
24;43;16;67;100;65;0.323809523809524;0.35;0.392156862745098;0.733333333333333;0.751767754555
24;41;16;67;98;65;0.323232323232323;0.336734693877551;0.384313725490196;0.733333333333333;0.734634637833
11;21;8;44;68;49;0.368055555555556;0.352941176470588;0.266666666666667;0.827450980392157;0.808668494225
4;9;3;34;46;37;0.375;0.260869565217391;0.180392156862745;0.905882352941176;0.854907870293
4;9;4;34;46;39;0.402777777777778;0.260869565217391;0.180392156862745;0.866666666666667;0.834475755692
19;32;14;59;88;62;0.350574712643678;0.329545454545455;0.345098039215686;0.709803921568627;0.745586335659
16;28;12;53;81;58;0.363095238095238;0.345679012345679;0.317647058823529;0.764705882352941;0.761093020439
25;39;13;69;95;60;0.29047619047619;0.368421052631579;0.372549019607843;0.717647058823529;0.657732725143
19;34;10;56;88;54;0.323529411764706;0.386363636363636;0.345098039215686;0.788235294117647;0.766997098923
17;32;10;53;86;54;0.338383838383838;0.383720930232558;0.337254901960784;0.811764705882353;0.784576535225
3;5;2;34;39;35;0.366666666666667;0.128205128205128;0.152941176470588;0.913725490196078;0.793241024017
